Submission Date,Who was your coaching call with?,What did you work on in the coaching call?,Was the purpose of the call fulfilled? (Did the coach successfully help you with what you wanted?),Were all of your questions answered and clearly explained?,How was the coaches attitude on the call?,Rate your overall experience in the call,Do you have any ideas / recommendations that would help improve your experience?,Are there any improvements you'd like to see from the coaches?,utm_source,utm_campaign,utm_medium,utm_term,Submission ID,Week-Year,Avg,Streak
"2021 December 15, 11:56AM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,,,,,5709142427211204517,,5,#REF!
"2021 December 16, 10:39AM",Joshua Fimmano,Ad Angle Review,5,5,5,5,,Anyone who gives less than 5 stars to either Josh or Michael should suck a fat one because they're the best and we're lucky to have them help us.,,,,,5709077741328424897,,5,
"2021 December 16, 2:31PM",Joshua Fimmano,Product Research,5,5,5,5,,No sir! Josh was great :),,,,,5709019217014939471,,5,
"2021 December 18, 1:38PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5708448972757309772,,5,
"2021 December 18, 2:08PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5708414330225601199,,5,
"2021 December 20, 10:01AM",Michael Bondarenko,Website Optimisation,5,5,5,5,"Michael is such a professional on the call. He always goes above and beyond to help students like myself, be better and do better to work on our craft.",,,,,,5708351944736084002,,5,
"2021 December 20, 1:04PM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,,,,,5708335616417396455,,5,
"2022 January 11, 8:52AM",Joshua Fimmano,Product Research,5,5,5,5,"It was soooo fast... 

I like the action items and take aways for the call.

This is just some feedback for the overall 6FDS group; you are all VERY VERY young, which is great, but there aren't many ""leaders"" or ""experts"" in the group that 'look like me' so its a bit hard to really feel like i can be successful. 

WHEN i become 100% successful, you should use someone like me to be able to connect with those in a different stage of life.

Just a small aside!

Cheers","Josh was really good. 

Didn't try to give me products that he knows others are using in the group which was very helpful.",,,,,5708279820569137306,,5,
"2022 January 11, 2:10PM",Joshua Fimmano,Website Optimisation,5,5,5,5,100% excellent,,,,,,5708277264739610869,,5,
"2022 January 12, 9:01AM",Michael Bondarenko,Product Research,5,5,5,5,,,,,,,5708209153819005508,,5,
"2022 January 12, 9:58AM",Joshua Fimmano,Website Optimisation,5,5,5,5,100% excellent,,,,,,5708189543437484571,,5,
"2022 January 12, 10:50AM",Joshua Fimmano,Website Optimisation,5,5,5,5,"Josh is an exceptional coach and I'll make sure all my future calls are with him. 

Thank you Josh",,,,,,5708119736445248525,,5,
"2022 January 12, 11:19AM",Michael Bondarenko,Website Optimisation,5,5,5,4,"Having the coaches fully prepared and sharp would be ideal. They know their stuff, but being organised for each coaching call is imperative",,,,,,5708096425427334475,,4.75,
"2022 January 12, 1:36PM",Michael Bondarenko,Product Research,5,5,5,5,,,,,,,5706600317212309173,,5,
"2022 January 13, 8:02AM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,,,,,5705903397699617680,,5,
